Uuid|EmployeeUuid|SubjectUuid|ClassRoomUuid|User|AssignDate
0f267208-648b-42b1-85c6-13f36135ee0a|1B6352E2-3C90-4CAC-BD94-77C64D3903B7|D0F7EC32-EA25-7D32-8708-2CC132446|4DA86139-6A72-4089-8858-6A3A613FDFE6|Karani|Sun Nov 09 07:10:19 EAT 2014
3334E901-CAC8-4C4D-9E3F-D3232D27A1C0|D37D5D55-AD43-4D21-9763-7F3D3018583E|66027e51-b1ad-4b10-8250-63af64d23323|E06D24F3-6D2C-47A5-9300-F880877E0C1C|Karani|Sun Nov 09 07:10:19 EAT 2014
E7716CEE-A8E5-46AA-93F3-3DBC0499F433|E7F04EAA-D530-4A8E-A2EC-661B1E8AA15D|4f59580d-1a16-4669-9ed5-4b89615d6903|A41016A0-2848-4969-8197-878D1D9687D6|Karani|Sun Nov 09 07:10:19 EAT 2014
4E9C5AE7-3EA5-49FB-90A1-6E155A455093|C4196E25-2114-42BD-B694-C75AFB25C3ED|552c0a24-6038-440f-add5-2dadfb9a23bd|4927E344-0A7C-40A1-AD9B-4A0E4AC305B8|Karani|Sun Nov 09 07:10:19 EAT 2014
D1D190FC-722E-4C9D-9D40-886F0BFC099C|37913C46-F57C-4E92-82D0-63A11123D69C|44f23b3c-e066-4b45-931c-0e8073d3a93a|4DA86139-6A72-4089-8858-6A3A613FDFE6|karkani|Sun Nov 09 07:10:19 EAT 2014
EE04C6BD-BE5A-47EA-8DCB-EF136F2E70A3|C3842A8D-8278-4621-B10A-A18DB344A598|de0c86be-9bcb-4d3b-8098-b06687536c1f|E06D24F3-6D2C-47A5-9300-F880877E0C1C|Karani|Sun Nov 09 07:10:19 EAT 2014
90C15B26-DE14-4E8B-B1E0-C68C436D2AB0|1B6352E2-3C90-4CAC-BD94-77C64D3903B7|c9caf109-c27d-4062-9b9f-ac4268629e27|A41016A0-2848-4969-8197-878D1D9687D6|Karani|Sun Nov 09 07:10:19 EAT 2014
05088F52-AEC2-4510-846C-4B9A946FF1CD|D37D5D55-AD43-4D21-9763-7F3D3018583E|f098e943-26fd-4dc0-b6a0-2d02477004a4|4927E344-0A7C-40A1-AD9B-4A0E4AC305B8|Karani|Sun Nov 09 07:10:19 EAT 2014
22ABA06E-CC77-43D2-AABE-D3BF36544AA7|E7F04EAA-D530-4A8E-A2EC-661B1E8AA15D|0e5dc1c6-f62f-4a36-a1ec-064173332694|4DA86139-6A72-4089-8858-6A3A613FDFE6|Karani|Sun Nov 09 07:10:19 EAT 2014
AFE36B81-CB73-450A-BE70-573F16D424CC|C4196E25-2114-42BD-B694-C75AFB25C3ED|e1729cc2-524a-4069-b4a4-be5aec8473fe|E06D24F3-6D2C-47A5-9300-F880877E0C1C|Karani|Sun Nov 09 07:10:19 EAT 2014
