Uuid|SchoolAccountUuid|StudentUuid|Term|Year|ClosingAmount
983E2BFA-F3BF-4AE5-B05D-FDA7AEC61490|E3CDC578-37BA-4CDB-B150-DAB0409270CD|4F218688-6DE5-4E69-8690-66FBA2F0DC9F|1|2014|300
F7EA767A-35AF-4D74-A078-40B3EB99EB7F|E3CDC578-37BA-4CDB-B150-DAB0409270CD|A195BAF6-D6E7-43A5-B7C9-D6C627A42815|1|2014|-400
15F9A6D3-D9E0-469E-B224-B84DF62279B3|E3CDC578-37BA-4CDB-B150-DAB0409270CD|8A1B5BDB-9589-4207-8345-A811FC18B2C9|1|2014|100
D908552F-EF0D-4519-989E-D89A74B43B7C|E3CDC578-37BA-4CDB-B150-DAB0409270CD|AEED7469-F7AF-41E6-B24C-13B1D74E1026|1|2014|300
1930E8A3-2F29-4CD4-8B53-8E9B1008733E|E3CDC578-37BA-4CDB-B150-DAB0409270CD|CF64EBB2-BCC2-4EAA-B1C8-060EEE3284F3|1|2014|-400
FEA0B6CE-A39D-4EA7-8169-B26B8C320F9A|E3CDC578-37BA-4CDB-B150-DAB0409270CD|7BF6983F-CF8D-4897-8122-7CCD0F778CAF|1|2014|100
D69B8EB7-D7DD-43AA-933E-9D60FB31C35D|E3CDC578-37BA-4CDB-B150-DAB0409270CD|87D0EA99-7042-4867-A4B7-C31E7665DE5E|1|2014|300
5720168C-F102-424E-85C2-8726F2BD9ED1|E3CDC578-37BA-4CDB-B150-DAB0409270CD|6912F4C6-9370-440A-BA87-11A8426BA92C|1|2014|-400
694B923C-AD4B-4CBA-950C-5B00E8A760F2|E3CDC578-37BA-4CDB-B150-DAB0409270CD|91318D8C-8150-49B4-A473-CF97F104F6B7|1|2014|100
5ED1B1BB-24DB-4B55-BAEE-0A85A758CC0E|E3CDC578-37BA-4CDB-B150-DAB0409270CD|DD9AF1EF-EEEC-49D3-A43F-802D7028BFD7|1|2014|300
72C94F28-18ED-4506-AF4A-98EB1176C5F0|E3CDC578-37BA-4CDB-B150-DAB0409270CD|62BC85B5-306F-4740-A215-48470CA31288|1|2014|-400
BE23F6C9-EED2-4E47-A5DA-CE22E1221BC8|E3CDC578-37BA-4CDB-B150-DAB0409270CD|B2EEF18D-EE0A-4CA1-B6FE-B82F863D81B4|1|2014|100
6EB31643-4209-4C91-B49F-1CF6A4CE544D|E3CDC578-37BA-4CDB-B150-DAB0409270CD|29A012E5-CDE3-45D8-9BB0-A25D3DBF0A92|1|2014|300
9B58C364-8888-4063-A5F1-4BE6CD622105|E3CDC578-37BA-4CDB-B150-DAB0409270CD|423C391C-4944-43F4-9034-9C6818E9C1A2|1|2014|-400
6BA44964-BC02-4FF2-97F7-2912436D082D|E3CDC578-37BA-4CDB-B150-DAB0409270CD|F67E977A-0102-4758-91E8-9782A570E75D|1|2014|100
7599B304-B62F-4896-B1BC-792154C1D92D|E3CDC578-37BA-4CDB-B150-DAB0409270CD|EF70C8D3-6866-4F6E-8FC2-10665A8D9B12|1|2014|300
2ED8FA92-1709-47C6-A971-A1DC4ACCE2A1|E3CDC578-37BA-4CDB-B150-DAB0409270CD|123264D0-464E-4032-BEA5-CFECA81410C9|1|2014|-400
3FBA4B30-F47F-4F31-A5FB-DF17BC52FB77|E3CDC578-37BA-4CDB-B150-DAB0409270CD|CA1F032F-1CA2-4DCE-8AAA-CB284E167A3E|1|2014|100
3ACC55D8-95A3-4353-A1E8-CFBEA0038E21|E3CDC578-37BA-4CDB-B150-DAB0409270CD|72A995F4-0C94-4FAA-8A43-2277B02B97D1|1|2014|300
F03F110C-156F-4F33-94BB-B2886720C2B3|E3CDC578-37BA-4CDB-B150-DAB0409270CD|0DE968C9-7309-C481-58F7-AB6CDB1011EF|1|2014|-400
46824CBA-73AE-4D4C-81C0-C3431AEB03BF|E3CDC578-37BA-4CDB-B150-DAB0409270CD|C1F2964E-9DD5-4B7A-86BD-E7FCAFB9D9D9|1|2014|100
6FE410A9-74FA-4E7C-BBAC-A4C4EA624F40|E3CDC578-37BA-4CDB-B150-DAB0409270CD|E4D9BF24-8574-463D-A816-A21CEC6CD548|1|2014|300
B1040AAF-AE97-49B7-8AA3-57C2AFA8CA61|E3CDC578-37BA-4CDB-B150-DAB0409270CD|40F82118-26E7-4CCC-8456-195B5F009478|1|2014|-400
24C976BF-87E3-4175-9E36-AF2A063337E1|E3CDC578-37BA-4CDB-B150-DAB0409270CD|0420916C-304D-4EB8-A847-8B4729E915C1|1|2014|100
AD9D2C57-5333-4DF8-B850-522448A07818|E3CDC578-37BA-4CDB-B150-DAB0409270CD|199C78A9-4708-451E-8C87-8E6B4F47AAD9|1|2014|300
655C31DF-0BBB-43B3-9C54-3AA53A94C571|E3CDC578-37BA-4CDB-B150-DAB0409270CD|B404AA65-25A3-40B0-8462-D377A926354F|1|2014|-400
5E2D93AA-5B29-42B9-81B1-3754D1AC31FF|E3CDC578-37BA-4CDB-B150-DAB0409270CD|B7B6D6E6-84B1-47F6-AA1B-AA34AEB7D236|1|2014|100
